time,retweet count
00:00:00,9
00:00:00,8
00:00:00,6
00:00:00,0
00:00:00,0
00:00:00,0
00:00:00,0
00:00:00,0
00:00:00,101
00:00:00,33
00:00:00,31
00:00:00,1
00:00:00,0
00:00:00,2
00:00:00,0
00:00:00,0
00:00:00,1491
00:00:00,3630
00:00:01,4
00:00:01,2
00:00:02,1
00:00:02,0
00:00:02,13
00:00:03,0
00:00:03,85
00:00:03,2
00:00:03,6
00:00:04,23
00:00:04,31
00:00:05,59
00:00:05,120
00:00:05,21
00:00:05,9
00:00:05,13
00:00:05,2
00:00:05,31
00:00:05,206
00:00:06,9
00:00:06,4
00:00:06,4
00:00:06,29
00:00:06,4
00:00:07,7745
00:00:07,30
00:00:07,11
00:00:08,61
00:00:09,55
00:00:09,10
00:00:09,64
00:00:09,16
00:00:10,1
00:00:12,0
00:00:12,73
00:00:13,9
00:00:13,15
00:00:15,2
00:00:17,0
00:00:17,22
00:00:17,132
00:00:18,66
00:00:19,0
00:00:19,8
00:00:19,7
00:00:20,225
00:00:20,13
00:00:20,23
00:00:21,38
00:00:21,12
00:00:22,12
00:00:23,111
00:00:23,5
00:00:24,9
00:00:24,23
00:00:24,11
00:00:25,14
00:00:27,63
00:00:27,5
00:00:27,17
00:00:28,209
00:00:30,6
00:00:31,16
00:00:31,8
00:00:31,112
00:00:31,83
00:00:32,27
00:00:33,11
00:00:33,67
00:00:33,25
00:00:33,21
00:00:34,2
00:00:34,5
00:00:35,4
00:00:35,23
00:00:36,14
00:00:36,27
00:00:37,7
00:00:37,235
00:00:38,5
00:00:38,17
00:00:38,24
00:00:39,20
00:00:39,785
00:00:40,3
00:00:40,55
00:00:41,12
00:00:41,5
00:00:41,125
00:00:42,28
00:00:42,13
00:00:42,69
00:00:43,17
00:00:43,14
00:00:43,36
00:00:43,13
00:00:43,12
00:00:44,16
00:00:44,1
00:00:45,131
00:00:45,54
00:00:45,16
00:00:45,9
00:00:46,85
00:00:47,60
00:00:47,21
00:00:47,30
00:00:47,5
00:00:48,15
00:00:48,3
00:00:49,158
00:00:49,40
00:00:50,36
00:00:50,41
00:00:50,22
00:00:50,43
00:00:51,19
00:00:51,24
00:00:51,121
00:00:52,11
00:00:52,32
00:00:53,27
00:00:54,98
00:00:54,44
00:00:54,19
00:00:55,21
00:00:55,10
00:00:56,201
00:00:56,0
00:00:57,63
00:00:57,11
00:00:57,6
00:00:58,152
00:00:59,13
00:01:00,37
00:01:00,22
00:01:00,27
00:01:00,2
00:01:00,4
00:01:00,0
00:01:00,0
00:01:00,848
00:01:00,0
00:01:00,1
00:01:00,0
00:01:00,1
00:01:00,190
00:01:00,85
00:01:01,9
00:01:01,25
00:01:02,117
00:01:02,102
00:01:02,34
00:01:02,40
00:01:02,11
00:01:03,14
00:01:03,4
00:01:04,17
00:01:04,2
00:01:06,6
00:01:07,406
00:01:07,22
00:01:07,8
00:01:07,10
00:01:08,16
00:01:08,47
00:01:10,36
00:01:10,0
00:01:11,18
00:01:11,29
00:01:11,18880
00:01:13,121
00:01:16,14
00:01:17,7
00:01:19,16
00:01:21,104
00:01:21,17
00:01:22,32
00:01:24,55
00:01:28,8
00:01:28,17
00:01:29,0
00:01:30,150
00:01:31,58
00:01:32,19
00:01:32,41
00:01:36,22
00:01:37,141
00:01:38,0
00:01:38,26
00:01:38,0
00:01:39,14
00:01:39,12
00:01:40,1
00:01:42,4593
00:01:42,10
00:01:43,37
00:01:44,48
00:01:50,44
00:01:50,2
00:01:51,6
00:01:51,1
00:01:53,112
00:01:58,1
00:01:59,88
00:02:00,3
00:02:00,0
00:02:00,0
00:02:00,1
00:02:00,1
00:02:00,1
00:02:00,0
00:02:00,0
00:02:00,0
00:02:00,2759
00:02:00,336
00:02:00,6
00:02:00,29
00:02:00,1731
00:02:01,190
00:02:02,69
